titleName,url,discountedPrice,originalPrice
 10 x KN95 Dustproof Anti-haze Face Masks 95% Filtration N95 Mask ,https://www.tinydeal.com/10-x-kn95-dustproof-anti-haze-face-masks-95-filtration-n95-mask-p-200022.html,$15.66,$35.37 
 20 x Disposable Non-Medical 3-ply Anti-fog Face Mouth Mask ,https://www.tinydeal.com/20-x-disposable-non-medical-3-ply-anti-fog-face-mouth-mask-p-200366.html,$4.36,$11.01 
 Transparent Anti Droplet Dust-proof Medical Face Shield Face Cover Mask ,https://www.tinydeal.com/transparent-anti-droplet-dust-proof-medical-face-shield-face-cover-mask-p-200336.html,$2.01,$3.15 
 Reusable Face-Shielding Face Mask Anti-Fog Anti-Splash Face Shield ,https://www.tinydeal.com/reusable-face-shielding-face-mask-anti-fog-anti-splash-face-shield-p-200342.html,$3.35,$4.40 
 20 x Disposable Surgical Medical 3 Layer Mouth Face Mask ,https://www.tinydeal.com/20-x-disposable-surgical-medical-3-layer-mouth-face-mask-p-200368.html,$8.30,$16.71 
 1 Pair of Silicone Magnetic Losing Weight Toe Rings ,https://www.tinydeal.com/1-pair-of-silicone-magnetic-losing-weight-toe-rings-p-12727.html,$0.91,$2.98 
 Neoprene Short Beach Socks Diving Socks Non-Slip Antiskid Scuba Dive Boots ,https://www.tinydeal.com/neoprene-short-beach-socks-diving-socks-non-slip-antiskid-scuba-dive-boots-p-174657.html,$2.87,$3.44 
 1/2 pcs Car Visor Glasses Sunglasses Ticket Clip Holder - Color Assorted ,https://www.tinydeal.com/12-pcs-car-visor-glasses-sunglasses-ticket-clip-holder-color-assorted-p-90302.html,$1.22,$3.48 
 Double Zippers Design Multi-functional Storage Bag ,https://www.tinydeal.com/double-zippers-design-multi-functional-storage-bag-p-68145.html,$3.85,$4.06 
 64GB USB 2.0 Flash Drive USB Pen Drive U Disk ,https://www.tinydeal.com/64gb-usb-20-flash-drive-usb-pen-drive-u-disk-p-178875.html,$6.28,$17.93 
 50 x Choebe CB Medical Disposable Anti-haze Face Masks 99% Filtration ,https://www.tinydeal.com/50-x-choebe-cb-medical-disposable-anti-haze-face-masks-99-filtration-p-200006.html,$27.67,$47.40 
 300-LED 5M 5050 SMD 72W Indoor LED Light Strip ,https://www.tinydeal.com/300-led-5m-5050-smd-72w-indoor-led-light-strip-p-105499.html,$7.58,$8.94 
 Mini Airtight Sealer Machine for Plastic Bag - Assorted Color ,https://www.tinydeal.com/mini-airtight-sealer-machine-for-plastic-bag-assorted-color-p-39392.html,$2.06,$5.25 
 Portable Mini LCD Digital Tyre Tire Pressure Gauge Tester ,https://www.tinydeal.com/portable-mini-lcd-digital-tyre-tire-pressure-gauge-tester-p-23322.html,$3.16,$3.66 
